operator,generation,count,mean,median,std,min,max
ALL,ALL,12542.0,0.962,0.971,0.034,0.575,1.0
BackTranslation,1,9.0,0.971,0.964,0.014,0.957,0.992
BackTranslation,2,58.0,0.947,0.949,0.026,0.876,0.995
BackTranslation,3,286.0,0.931,0.931,0.037,0.698,0.999
BackTranslation,4,1005.0,0.924,0.927,0.048,0.575,0.998
BackTranslation,ALL,1358.0,0.927,0.929,0.045,0.575,0.999
BertMLM,1,41.0,0.983,0.989,0.015,0.945,0.999
BertMLM,2,128.0,0.979,0.988,0.02,0.899,0.999
BertMLM,3,636.0,0.982,0.989,0.018,0.899,1.0
BertMLM,4,3082.0,0.979,0.987,0.021,0.844,1.0
BertMLM,ALL,3887.0,0.98,0.988,0.021,0.844,1.0
POSAwareSynonymReplacement,1,25.0,0.977,0.986,0.019,0.92,0.991
POSAwareSynonymReplacement,2,128.0,0.974,0.979,0.019,0.923,1.0
POSAwareSynonymReplacement,3,545.0,0.975,0.981,0.021,0.902,1.0
POSAwareSynonymReplacement,4,2650.0,0.975,0.982,0.021,0.859,0.999
POSAwareSynonymReplacement,ALL,3348.0,0.975,0.982,0.021,0.859,1.0
TinyT5Paraphrasing,1,131.0,0.954,0.957,0.028,0.843,0.996
TinyT5Paraphrasing,2,136.0,0.95,0.954,0.036,0.669,0.999
TinyT5Paraphrasing,3,630.0,0.947,0.95,0.029,0.856,1.0
TinyT5Paraphrasing,4,3052.0,0.944,0.947,0.031,0.73,1.0
TinyT5Paraphrasing,ALL,3949.0,0.945,0.948,0.031,0.669,1.0
